Requirement,Context (Keywords),Name of Doc,Sec/NotSec,Labeled by,Comments,Label,Labeled by,Comments,,,,,,
NPAC SMS shall have documented procedures for data restoration.,Security,npac.doc,1,Кирилл,,Availability,Aydar,Not sure,,,,,,
NPAC SMS shall record the exact revision number of the latest software installed.,Security,npac.doc,1,Кирилл,,Availability,Aydar,Not sure,,,,,,
"NPAC SMS shall display for viewing the exact revision number of the latest software via a Web bulletin board, and also through the NPA Administrative and NPAC SOA Low-tech Interfaces upon completion of the user login sequence.",Security,npac.doc,1,Кирилл,,Availability,Aydar,,,,,,,
NPAC SMS shall be developed using a corporate policy governing the development of software.,Security,npac.doc,1,Кирилл,,Operational,Aydar,,,,,,,
"NPAC SMS shall not support any mode of entry into NPAC SMS for maintenance, support, or operations that would violate or bypass any security procedures.",Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
"NPAC SMS shall document any mode of entry into the SMS for maintenance, support, or operations.",Security,npac.doc,1,Кирилл,,Accountability,Aydar,,,,,,,
"Attacks against the NPAC SMS may be perpetrated in order to achieve any of the following: Denial of service to a customer by placing wrong translation information in the SMS, Denial of service to a customer by preventing a valid message from reaching the SMS, Disrupting a carrier’s operations by having numerous spurious calls (to users who are not clients of that carrier) directed to that carrier, Switching customers to various carriers without their consent, Disrupting the functioning of the NPAC SMS by swamping it with spurious messages.",Security,npac.doc,1,Кирилл,,Integrity,Aydar,Not sure,,,,,,
SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall support Authentication (at association setup).,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall support data origin authentication for each incoming message.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall support detection of replay.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,Not sure,,,,,,
SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall support detection of message deletion.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,Not sure,,,,,,
SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall support detection of message modification.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall support detection of message delay.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall support non‑repudiation of origin.,Security,npac.doc,1,Кирилл,,Other,Aydar,,,,,,,
"SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall allow only authorized parties (i.e., carriers serving a given customer) to cause changes in the NPAC SMS database.",Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall use a public key crypto system (PKCS) to provide digital signatures. Since there is no requirement for confidentiality service there is no need for any additional encryption algorithms.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
"NPAC SMS shall support one of the digital signature algorithms listed in the OIW Stable Implementation Agreement, Part 12, 1995.",Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall require the size of the modulus of each key to be at least 600 bits for RSA encryption.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall apply the digital signature algorithm to the fields specified below without any separators between those fields or any other additional characters.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
"SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall provide authentication consisting of the following: The unique identity of the sender, The Generalized Time, corresponding to the issuance of the message, A sequence number, A key identifier, The digital signature of the sender’s identity, Generalized Time and sequence number listed above, Key list ID.",Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall convey the authenticator in the CMIP access control field.,Security,npac.doc,1,Кирилл,,Access control,Aydar,,,,,,,
SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall ensure that every subsequent CMIP message that contains the access control field carries the authenticator.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall verify that each party maintains a separate sequence number counter for each association it uses to send messages.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall verify that every time the authenticator is used the value of the sequence number will be incremented by one.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall ensure that all the notifications defined for the number portability application contain a security field.,Security,npac.doc,1,Кирилл,,Other,Aydar,,,,,,,
SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall ensure that the syntax of the security field used for the notification corresponds to the authenticator.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
NPAC SMS shall ensure that all the notifications are sent in the confirmed mode.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
NPAC SMS shall be responsible for access control on the SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface.,Security,npac.doc,1,Кирилл,,Access control,Aydar,,,,,,,
SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall ensure that external messages received have a generalized time in the access control information within 5 minutes of the NPAC SMS system clock.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
"SOA to NPAC SMS interface and the NPAC SMS to Local SMS interface shall keep a log of all of the following: Incoming messages that result in the setup or termination of associations, All invalid messages (invalid signature, sequence number out of order, Generalized Time out of scope, sender not authorized for the implied request), All incoming messages that may cause changes to the NPAC SMS database.",Security,npac.doc,1,Кирилл,,Accountability,Aydar,,,,,,,
"NPAC SMS shall ensure that during a security key exchange, each party provide the other with a list of keys.",Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
NPAC SMS shall provide the list of keys in a secure electronic form.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
The originator of the list of keys shall also provide the receiver with signed (in ink) paper copy of the MD5 hashes of the keys in the list.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
NPAC SMS shall support exchange of the list of keys in person or remotely.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
"NPAC SMS shall convey the lists via two different channels, diskette sent via certified mail, and a file sent via Email or FTP using encryption mechanisms if the keys are exchanged remotely.",Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
"NPAC SMS shall support the Service Providers’ acknowledgment via 2 secure electronic forms, Email or FTP using encryption mechanisms.",Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
NPAC SMS shall support the acknowledgment consisting of the MD5 hash of each one of the keys in the list.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
The recipient shall call the sender by phone for further confirmation and provide the sender with the MD5 hash of the whole list.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
NPAC SMS shall generate a paper list to each Service Provider of the MD5 hashes of all the public keys used by a Service Provider once a month.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
NPAC SMS shall verify the identity of the Service Provider to whom the MD5 hashes of the public keys was sent.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
"NPAC SMS shall provide each Service Provider with a numbered list of encryption keys, numbered from 1 to 1000.",Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
NPAC SMS shall ensure unique numbering of the keys.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
NPAC SMS shall allow a new encryption key to be chosen with every message that contains a key identifier.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
NPAC SMS shall reject messages that use a key whose usage has stopped.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
NPAC SMS shall allow authorized NPAC SMS personnel to initiate a new key for messages.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
NPAC SMS shall change the key used between the NPAC SMS and Service Provider after one year of usage.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
NPAC SMS shall allow NPAC SMS personnel to change key sizes for Service Providers as needed to ensure secure communications between the NPAC SMS and the Service Providers.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
NPAC SMS shall expect new key initiation to be requested on a per Service Provider application basis.,Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
"NPAC SMS shall, upon determination that its key list has been compromised, change its own private key.",Security,npac.doc,1,Кирилл,,Confidentiality,Aydar,,,,,,,
NPAC SMS shall only mark an SP key as invalid or used when the service provider changes keys.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
NPAC SMS shall be able to load a new key list in 15 minutes or less.,Security,npac.doc,1,Кирилл,,Other,Aydar,Looks like performance ,,,,,,
NPAC SMS shall be responsible for ensuring that the system clock is accurate to within two minutes of GMT.,Security,npac.doc,1,Кирилл,,Other,Aydar,Looks like performance ,,,,,,
A sequence number equal to zero shall be required for association request and association response messages.,Security,npac.doc,1,Кирилл,,Other,Aydar,Looks like performance ,,,,,,
NPAC SMS shall provide a mechanism for authorized NPAC personnel to change a user name in the NPAC SMS.,Security,npac.doc,1,Кирилл,,Integrity,Aydar,,,,,,,
"Access to the application by the Construction Junction staff must require user login. Access to application screens and functions is granted or denied based on the profile and role of the currently logged in user, as detailed in the preceding use-case requirements.",Security,inventory-2.0.pdf,1,Кирилл,,Integrity,Aydar,,,,,,,
"The system should record changes to application entities in the form of „created user/time‟, „modified user/time‟ fields.",Security,inventory-2.0.pdf,1,Кирилл,,Accountability,Aydar,,,,,,,
The system should also record information about various sensitive inventory management operations such as deleting items and changing the price of items.,Security,inventory-2.0.pdf,1,Кирилл,,Accountability,Aydar,,,,,,,
